Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,169.9,-81.3,180.0,top
C1,163.0,-100.6,270.0,top
C10,143.8,-72.0,90.0,top
C12,172.1,-91.5,180.0,bottom
C2,151.9,-97.7,90.0,top
C3,149.77,-101.97,90.0,top
C4,154.5625,-104.7,0.0,top
C5,144.3,-104.3,180.0,top
C6,140.0,-96.05,180.0,bottom
C7,146.3,-85.6,270.0,bottom
C8,154.6,-103.7,180.0,bottom
C9,155.2,-107.3,180.0,bottom
J1,162.67,-110.77,0.0,top
J10,138.7,-104.5,90.0,top
J2,178.6,-86.1,90.0,top
J3,175.35,-71.6,90.0,top
J5,140.0,-91.925,0.0,top
J6,151.0225,-110.75,0.0,top
J7,172.8,-104.3,0.0,top
J8,179.8,-104.3,0.0,top
J9,178.5,-96.4,90.0,top
PHOTO1,144.0,-99.0,0.0,top
POWER1,165.3,-96.5,0.0,top
R1,155.8,-93.8,180.0,bottom
R2,156.2,-95.1,0.0,top
R3,168.9,-86.6,90.0,top
R4,155.8,-97.0,180.0,bottom
R5,137.2,-81.9,90.0,top
R7,170.2,-96.5,180.0,top
R8,170.2,-92.9,180.0,top
R9,138.75,-99.0,180.0,top
RESET1,142.0,-84.0,180.0,top
STATUS1,165.3,-92.9,0.0,top
U1,156.3,-100.3,0.0,top
U2,156.0,-79.47,0.0,top
U3,172.0,-97.8,270.0,bottom
U4,140.0,-85.8,270.0,bottom
